"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","B1","B2","B3","B4","C1","C2","C3","C4","C5","D1","D2","D3","D4","D5","D6","E","F1","F2","F3","F4","F5","F6","F7"
"98","Male","Congo","Student","Yes","No","Yes","Food products","Yes","Yes","Step up their support",2,3,2,4,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","Undecided","SomewhatAgrees","Undecided","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees"
"99","Male","Congo","Student","Yes","No","Yes","Food products","Yes","Yes","Step up their support",2,3,3,4,"Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Radio","Undecided","SomewhatAgrees","SomewhatDisagrees","SomewhatAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees"
"100","Male","Congo","Student","Yes","No","Yes","Food products","Yes","Yes","Step up their support",3,3,4,4,"Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","StronglyAgrees","StronglyDisagrees","SomewhatAgrees","SomewhatAgrees","SomewhatDisagrees","StronglyAgrees"
"101","Female","Nairobi","Student","Yes","Yes","Yes","From all industries","Yes","No","Step up their support",4,1,1,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","All of the above","Undecided","SomewhatDisagrees","SomewhatAgrees","Undecided","StronglyDisagrees","SomewhatAgrees","StronglyAgrees"
"102","Female","Kiambu","Public Relations","Yes","No","No","Pharmaceutical","Yes","Yes","Step up their support",5,1,3,4,"Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","SomewhatDisagrees","StronglyDisagrees","StronglyAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees"
"103","Male","Nairobi","Student/taxi driver","Yes","No","Yes","From all industries","Yes","Yes","Step up their support",4,4,3,4,"Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","SomewhatAgrees","Undecided","StronglyAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees"
"104","Female","Kitui","Student","No","No","Yes","Food products","Yes","No","Step up their support",2,2,2,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","All of the above","StronglyAgrees","SomewhatAgrees","StronglyDisagrees","StronglyAgrees","Undecided","StronglyAgrees","Undecided"
"105","Male","Kericho","Snr doctor","Yes","No","Yes","Food products","Yes","No","Step up their support",4,3,5,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","Undecided","StronglyAgrees","Undecided"
"106","Female","Kiambu","Child Protection Social Worker","Yes","Yes","No","From all industries","Yes","No","Step up their support",1,2,1,2,"Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","All of the above","StronglyAgrees","SomewhatAgrees","SomewhatAgrees","StronglyAgrees","SomewhatDisagrees","Undecided","Undecided"
"107","Female","Kenya","Project Manager","Yes","Yes","Yes","From all industries","Yes","No","Step up their support",5,2,4,3,"Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","All of the above","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees","SomewhatDisagrees","Undecided","Undecided"
"108","Female","Busia","student","No","Yes","Yes","From all industries","Yes","Yes","Step up their support",3,3,4,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees"
"109","Female","Kenya","Research","Yes","Yes","Yes","Food products","Yes","Yes","Step up their support",1,4,3,5,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatAgrees","Undecided","StronglyAgrees","Undecided","StronglyAgrees","StronglyAgrees"
"110","Female","Nairobi","HR","No","Yes","Yes","Food products","Yes","Yes","Already doing enough",1,5,3,1,"Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","Undecided","SomewhatAgrees","SomewhatDisagrees","StronglyAgrees","SomewhatDisagrees","StronglyAgrees","Undecided"
